"","Diff.","Avg. score","SD","Min.","Obs. min.","Max.","Obs. max.","Prop. max.","RIT","RIR","ULI","Rel.","\(\alpha\)-drop","Missed [%]","Not-reached [%]"
"V6",0.733913043478261,-0.0258312185889235,0.997455703589679,-2.85032333053086,-2.85032333053086,0.998214499721778,0.998214499721778,0.339130434782609,0.342281305642016,0.294947287108033,0.251012145748988,0.341410440544751,0.891363578751124,0,0
"V7",0.721739130434783,0.102673491798961,0.985728290684856,-2.4499080453434,-2.4499080453434,1.08680131334782,1.08680131334782,0.330434782608696,0.388789529019065,0.343658973068696,0.28744939271255,0.383240837876133,0.890686514316379,0,0
"V8",0.395652173913044,0.192236244658232,1.01119771491637,-1.08146556295218,-1.08146556295218,2.13778076397523,2.13778076397523,0.0347826086956522,0.271184181749133,0.221101933053761,0.219185784975259,0.27422082490619,0.892406461251322,0,0
"V9",0.550724637681159,-0.0694767587143796,1.01252552596079,-1.86382164926346,-1.86382164926346,1.39433091515461,1.39433091515461,0.173913043478261,0.299290613985141,0.249896037261602,0.193432298695457,0.303039386340432,0.892008412842033,0,0
"V10",0.692753623188405,0.218663068662423,0.928332131179587,-2.42325659820994,-2.42325659820994,1.39039313012046,1.39039313012046,0.165217391304348,0.241198786511654,0.194636174283965,0.123931623931624,0.223912583520294,0.892591050412475,0,0
"V11",0.484057971014493,0.218517339252236,1.01800345108086,-1.39255186419308,-1.39255186419308,1.93570487346341,1.93570487346341,0.0782608695652174,0.18556426369616,0.133375959419566,0.103351327035538,0.18890506083997,0.893640600282036,0,0
"V12",0.352173913043478,0.181121321024742,1.03040957955864,-0.990754473418519,-0.990754473418519,2.33679407870432,2.33679407870432,0.0260869565217391,0.515607300482142,0.474312394080011,0.377080521817364,0.531286701707172,0.888817547497244,0,0
"V13",0.534782608695652,0.279811287463532,1.01114580392973,-1.5334211367765,-1.5334211367765,1.8571760792821,1.8571760792821,0.0782608695652174,0.549286868410421,0.510664432576787,0.36336032388664,0.555409112146896,0.888325651075235,0,0
"V14",0.595652173913043,0.198001883112121,0.973894097795968,-2.09738883234898,-2.09738883234898,1.75618682134484,1.75618682134484,0.0956521739130435,0.428211613750354,0.385194915691341,0.222222222222222,0.417032763239157,0.890120409818563,0,0
"V15",0.728985507246377,0.146994998916642,0.929839814433701,-2.49121147113978,-2.49121147113978,1.1277993923571,1.1277993923571,0.269565217391304,0.197152934040721,0.149713084973754,0.114035087719298,0.183320647603484,0.893165227685798,0,0
"V16",0.402898550724638,0.0975688108474572,1.00149649623319,-1.40497961609827,-1.40497961609827,2.32436719898285,2.32436719898285,0.0347826086956522,0.396068677490982,0.350477030079347,0.206252811515969,0.396661392774931,0.890595986885431,0,0
"V17",0.647826086956522,0.139226885702187,0.957276293070566,-2.31739487385878,-2.31739487385878,1.47470582881922,1.47470582881922,0.156521739130435,0.316778960651358,0.27062438880882,0.169365721997301,0.303244989175078,0.891650382407239,0,0
"V18",0.495652173913043,0.147784734409852,1.03652875162822,-1.35930282581511,-1.35930282581511,1.68131242727034,1.68131242727034,0.182608695652174,0.445349125995106,0.400249037580336,0.281826360773729,0.461617173606428,0.889887523716645,0,0
"V19",0.517391304347825,0.0525271067219245,0.992009908807245,-1.68345071543216,-1.68345071543216,1.6718005374707,1.6718005374707,0.121739130434783,0.348012313536043,0.301132426367438,0.220872694556905,0.345231663414689,0.891273425835716,0,0
"V20",0.631884057971014,0.178502512587581,0.964584929488602,-2.27636890744389,-2.27636890744389,1.60863402792702,1.60863402792702,0.104347826086957,0.484066761399466,0.443955107956762,0.217498875393612,0.466923502912279,0.889330699846741,0,0
"V21",0.517391304347827,0.185315536391442,0.973171778490332,-1.43818499101335,-1.43818499101335,1.69967317119759,1.69967317119759,0.121739130434783,0.502601008650836,0.46302764653606,0.315901934322987,0.489117117459769,0.889058931513393,0,0
"V23",0.304347826086957,0.0140813044434054,1.01925686054177,-1.18752334139391,-1.18752334139391,2.76060620921441,2.76060620921441,0.0173913043478261,0.240524380918398,0.189309131761144,0.116396761133603,0.24515612537864,0.892867211267415,0,0
"V24",0.578260869565218,0.136506801749901,1.01085349945482,-1.92286954099458,-1.92286954099458,1.63845796901467,1.63845796901467,0.0869565217391304,0.618387279718261,0.58403913350698,0.405757984705353,0.625098945721553,0.887272680637207,0,0
"V25",0.41159420289855,0.139009257752625,0.989786523158281,-1.25872203613176,-1.25872203613176,2.13717441731974,2.13717441731974,0.0260869565217391,0.299649920681566,0.251398061284384,0.188708951866846,0.296589453156062,0.891951251502846,0,0
"V26",0.247826086956522,0.127537950978757,1.06674819623798,-0.959514491008403,-0.959514491008403,3.42683746788715,3.42683746788715,0.00869565217391304,0.368583763405631,0.318834859403402,0.197480881691408,0.393186064775561,0.891091145834159,0,0
"V27",0.791304347826087,0.149353276981284,0.92789694525938,-3.37938297104714,-3.37938297104714,1.08000899074702,1.08000899074702,0.31304347826087,0.395877435345901,0.35372088101498,0.147548358074674,0.367333462954579,0.890551612129144,0,0
